Count,Company Targeted,Publish Date,Attacker,Industry,Latitude,Longitude,Location of Attack,Leak Size (In MB),Data Type - Databases,Data Type - Applications,Data Type - Emails,Data Type - Source Code,Data Type - Business Information,Data Type - Designs,Data Type - Financial Information,Data Type - Research Information,Data Type - Employee Information,Data Type - Customer Information,Data Type - Company Information,Data Type - Backup Systems Information,Data Type - Supply Systems Information,Data Type - Business Deals Information,Data Type - Manufacturing Information
1,Etron,2022-06-01,Cuba Ransomware,Technology,24.783953143434864,121.0047218261935,"114, Taiwan, Neihu District, Lane 35, Jihu Rd, 22號2 樓與10樓",-,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,R1group,2022-06-22,Cuba Ransomware,ConsultingServices,41.89958112691735,12.409410174221735,"Via Monte Carmelo, 5, 00166 Roma RM, Italy",-,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,Site-technology,2022-07-19,Cuba Ransomware,Techology,24.49278984176616,54.361949607354035,Hamdan Bin Mohammed St - Zone 1 - E3-02 - Abu Dhabi - United Arab Emirates,-,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,Skupstina,2022-08-19,Cuba Ransomware,GovernmentAgency,42.439979761465885,19.260386797845932,"10 Bulevar Svetog Petra Cetinjskog, Podgorica 81000, Montenegro",-,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,Stm.com.tw,2022-07-04,Cuba Ransomware,Technology,22.834290032940658,120.30973802615402,"No. 301, Tandi Rd, Gangshan District, Kaohsiung City, Taiwan 820",-,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
