,Company Targeted,Publish Date,Attacker,Industry,Latitude,Longitude,Location of Attack,Leak Size (In MB),Data Type - Databases,Data Type - Applications,Data Type - Emails,Data Type - Source Code,Data Type - Business Information,Data Type - Designs,Data Type - Financial Information,Data Type - Research Information,Data Type - Employee Information,Data Type - Customer Information,Data Type - Company Information,Data Type - Backup Systems Information,Data Type - Supply Systems Information,Data Type - Business Deals Information,Data Type - Manufacturing Information,Country
21,POP TV,15/2/22,RansomEXX Ransomware,Multimedia,46.06942875,14.52227676,"Pop TV, 26, Kranjčeva ulica, Bežigrad, Ljubljana, Upravna Enota Ljubljana, 1000, Slovenija",24000,,,,,,,,,,,,,,,,Slovenija
22,KCA Deutag,28/1/22,RansomEXX Ransomware,Drilling,57.07907025,-2.123730642,"KCA Deutag, Bankhead Drive, City South Business Park, Hillside, Portlethen, Aberdeenshire, Alba / Scotland, AB12 4XX, United Kingdom",36297000,,,,,,,,,,,,,,,,United Kingdom
23,Etron,1/6/22,Cuba Ransomware,Technology,24.78395314,121.0047218,"114, Taiwan, Neihu District, Lane 35, Jihu Rd, 22號2 樓與10樓",-,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,臺灣
24,R1group,22/6/22,Cuba Ransomware,ConsultingServices,41.89958113,12.40941017,"Via Monte Carmelo, 5, 00166 Roma RM, Italy",-,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Italia
25,Site-technology,19/7/22,Cuba Ransomware,Technology,24.49278984,54.36194961,Hamdan Bin Mohammed St - Zone 1 - E3-02 - Abu Dhabi - United Arab Emirates,-,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,الإمارات العربية المتحدة
26,Skupstina,19/8/22,Cuba Ransomware,GovernmentAgency,42.43997976,19.2603868,"10 Bulevar Svetog Petra Cetinjskog, Podgorica 81000, Montenegro",-,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Crna Gora / Црна Гора
27,Stm.com.tw,4/7/22,Cuba Ransomware,Technology,22.83429003,120.309738,"No. 301, Tandi Rd, Gangshan District, Kaohsiung City, Taiwan 820",-,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,臺灣
28,Laddawn Inc.,7/9/22,Lorenz,Manufacturer,42.54161919,-71.61386704,"155 Jackson Rd, Devens, MA 01434, USA",-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
29,Northern Contours Inc.,21/7/22,Lorenz,Manufacturer,44.88072458,-93.15876035,"1355 Mendota Heights Rd STE 100, Mendota Heights, MN 55120, United States",-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
30,Engine Power,20/7/22,Lorenz,Motor/Vehicular,43.07448159,-88.47594949,"1830 Executive Dr, Oconomowoc, WI 53066, USA",-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
31,Fandeli,10/7/22,Lorenz,Manufacturer,19.52009166,-99.2076886,"Av Presidente Juárez 225, San Jerónimo Tepetlacalco, 54090 Tlalnepantla de Baz, Méx., Mexico",600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,México
32,Gresco,5/7/22,Lorenz,Utility,32.98792128,-83.84894919,"1135 Rumble Rd, Forsyth, GA 31029, USA",-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
33,Biothane usa,3/7/22,Lorenz,Manufacturer,41.41826767,-82.00286843,"34655 Mills Rd, North Ridgeville, OH 44039, United States",-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
34,Uppco,23/6/22,Lorenz,Utility,46.53912372,-87.4188581,"1002 Harbor Hills Dr, Marquette, MI 49855, United States",-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
35,"Wis-Pak, Inc",16/6/22,Lorenz,DrinkManufacturer,43.19024255,-88.74828597,"860 West St, Watertown, WI 53094, United States",250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
36,Bonneville Collections,2/6/22,Lorenz,Finance,41.15376729,-111.936429,"6026 Fashion Point Dr, Ogden, UT 84403, United States",-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
37,Westwood,31/5/22,Lorenz,Technology,44.89705748,-93.4416232,"12701 Whitewater Dr, Minnetonka, MN 55343, USA",-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
38,Fuji America Corporation,30/5/22,Lorenz,Manufacturer,42.21310377,-87.95029492,"171 Corporate Woods Pkwy, Vernon Hills, IL 60061, United States",-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
39, Magtek,19/5/22,Lorenz,Manufacturer,33.75736322,-118.0904932,"1710 Apollo Ct, Seal Beach, CA 90740, USA",150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
40,AmCham Shanghai,16/5/22,Lorenz,NonProfitOrganisation,31.22093668,121.47804,"China, Shang Hai Shi, Huangpu, 168, Hubin Rd, 168号26-27层无极限大厦 邮政编码: 200021",-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,中国
41, Brunk Industries Inc.,25/4/22,Lorenz,Manufacturer,42.60380001,-88.43114992,"1225 Sage St, Lake Geneva, WI 53147, United States",300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
42, Tosoh Corporation,19/4/22,Lorenz,Manufacturer,35.65240082,139.7474206,"MP2W+XX Minato City, Tokyo, Japan",250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,日本
43, Musco Sports Lighting,14/4/22,Lorenz,Manufacturer,41.29425201,-92.64742045,"100 1st Ave W, Oskaloosa, IA 52577, USA",220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
44,Simply Placed,13/4/22,Lorenz,ConsultingServices,47.53952137,-122.0222675,"904 7th Ave NE, Issaquah, WA 98029, USA",-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
45, DeeZee ,12/4/22,Lorenz,Motor/Vehicular,41.6645695,-93.59506322,"1572 NE 58th Ave, Des Moines, IA 50313, United States",150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
46,Advizrs,11/4/22,Lorenz,Finance,41.23152998,-96.19024469,"17605 Wright St, Omaha, NE 68130, USA",-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
47, Ward Hadaway ,29/3/22,Lorenz,Legal,53.79544491,-1.554440086,"5 Wellington Pl, Leeds LS1 4AP, UK",180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United Kingdom
48, VadaTech ,8/3/22,Lorenz,Technology,36.04113336,-115.0287017,"198 N Gibson Rd, Henderson, NV 89014, USA",220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States
49, Hensoldt ,2/3/22,Lorenz,Technology,48.04744358,11.6574654,"Willy-Messerschmitt-Straße 3, 82024 Taufkirchen, Germany",200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deutschland
